Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,10214.150391,10354.650391,10155.849609,10170.599609,10170.599609,0
2017-06-26,10160.000000,10238.950195,10045.099609,10155.049805,10155.049805,0
2017-07-03,10174.299805,10256.549805,10073.950195,10087.799805,10087.799805,0
2017-07-10,10214.299805,10611.950195,9946.349609,10330.650391,10330.650391,0
2017-07-17,10371.700195,10726.099609,10356.950195,10711.549805,10711.549805,0
2017-07-24,10734.150391,10905.200195,10511.099609,10699.450195,10699.450195,0
2017-07-31,10665.299805,10887.799805,10637.799805,10757.950195,10757.950195,0
2017-08-07,10749.700195,10757.900391,10581.849609,10647.049805,10647.049805,0
2017-08-14,10669.150391,10839.950195,10474.700195,10570.000000,10570.000000,0
2017-08-21,10574.299805,10618.049805,10401.049805,10503.900391,10503.900391,0
2017-08-28,10603.450195,10638.400391,10453.099609,10514.400391,10514.400391,0
2017-09-04,10455.549805,10506.500000,10407.900391,10456.650391,10456.650391,0
2017-09-11,10496.700195,10621.650391,10428.450195,10599.750000,10599.750000,0
2017-09-18,10601.400391,10694.000000,10588.150391,10632.099609,10632.099609,0
2017-09-25,10604.299805,10653.549805,10454.049805,10475.349609,10475.349609,0
2017-10-02,10534.450195,10665.599609,10502.150391,10655.349609,10655.349609,0
2017-10-09,10637.349609,10997.099609,10622.799805,10924.200195,10924.200195,0
2017-10-16,10936.849609,11014.049805,10872.799805,10890.799805,10890.799805,0
2017-10-23,10901.250000,11057.299805,10799.349609,10862.049805,10862.049805,0
2017-10-30,10892.549805,10913.900391,10772.250000,10839.049805,10839.049805,0
2017-11-06,10834.000000,11306.450195,10820.049805,11222.549805,11222.549805,0
2017-11-13,11188.500000,11343.599609,11059.000000,11150.000000,11150.000000,0
2017-11-20,11161.700195,11352.549805,11072.950195,11306.400391,11306.400391,0
2017-11-27,11290.849609,11326.000000,10930.950195,10948.500000,10948.500000,0
2017-12-04,11007.950195,11249.299805,10901.099609,11173.400391,11173.400391,0
2017-12-11,11178.900391,11343.150391,11170.450195,11288.299805,11288.299805,0
2017-12-18,11211.799805,11532.750000,11096.599609,11501.900391,11501.900391,0
2017-12-25,11503.000000,11689.750000,11430.650391,11665.750000,11665.750000,0
2018-01-01,11587.849609,11693.349609,11510.400391,11633.549805,11633.549805,0
2018-01-08,11674.349609,12178.799805,11661.500000,12099.200195,12099.200195,0
2018-01-15,12103.500000,12668.549805,11971.950195,12633.849609,12633.849609,0
2018-01-22,12544.599609,13553.950195,12521.150391,13117.849609,13117.849609,0
2018-01-29,13113.200195,13328.049805,12812.950195,12983.599609,12983.599609,0
2018-02-05,12878.700195,13104.799805,12350.400391,12492.700195,12492.700195,0
2018-02-12,12544.700195,12687.450195,12346.000000,12437.950195,12437.950195,0
2018-02-19,12474.150391,12888.000000,12228.799805,12871.150391,12871.150391,0
2018-02-26,12864.599609,12904.200195,12688.000000,12769.450195,12769.450195,0
2018-03-05,12768.549805,12930.549805,12645.750000,12747.250000,12747.250000,0
2018-03-12,12825.250000,13012.349609,12606.599609,12698.400391,12698.400391,0
2018-03-19,12660.900391,12725.349609,12281.200195,12541.099609,12541.099609,0
2018-03-26,12536.599609,12573.099609,12392.250000,12511.549805,12511.549805,0
2018-04-02,12542.299805,12723.400391,12442.150391,12603.349609,12603.349609,0
2018-04-09,12605.349609,13380.400391,12506.400391,13260.450195,13260.450195,0
2018-04-16,12936.299805,13964.299805,12935.250000,13910.349609,13910.349609,0
2018-04-23,13897.650391,14294.150391,13665.700195,13794.900391,13794.900391,0
2018-04-30,13818.849609,14094.099609,13302.900391,13453.299805,13453.299805,0
2018-05-07,13533.549805,13566.049805,13297.200195,13478.599609,13478.599609,0
2018-05-14,13480.099609,13625.500000,13358.200195,13459.150391,13459.150391,0
2018-05-21,13485.450195,13963.700195,13420.099609,13762.349609,13762.349609,0
2018-05-28,13832.950195,13832.950195,13457.599609,13558.549805,13558.549805,0
2018-06-04,13592.400391,13841.650391,13355.200195,13769.799805,13769.799805,0
2018-06-11,13807.500000,14151.750000,13755.500000,14121.500000,14121.500000,0
2018-06-18,14223.349609,14223.349609,13724.150391,13777.099609,13777.099609,0
2018-06-25,13814.000000,14143.299805,13791.000000,13989.500000,13989.500000,0
2018-07-02,14024.599609,14243.950195,13898.900391,14015.950195,14015.950195,0
2018-07-09,14111.849609,14654.549805,13993.599609,14534.900391,14534.900391,0
2018-07-16,14554.250000,14776.000000,14420.000000,14701.400391,14701.400391,0
2018-07-23,14726.700195,14768.900391,14423.750000,14517.900391,14517.900391,0
2018-07-30,14538.900391,14739.799805,14386.799805,14649.099609,14649.099609,0
2018-08-06,14694.700195,14731.099609,14534.599609,14679.299805,14679.299805,0
2018-08-13,14697.700195,15143.349609,14683.000000,15126.400391,15126.400391,0
2018-08-20,15033.650391,15410.200195,14946.549805,15260.049805,15260.049805,0
2018-08-27,15285.099609,15833.650391,15274.349609,15811.400391,15811.400391,0
2018-09-03,16013.049805,16130.599609,15703.000000,16104.799805,16104.799805,0
2018-09-10,16150.650391,16229.849609,15843.599609,16072.500000,16072.500000,0
2018-09-17,16096.400391,16207.500000,15579.950195,15833.500000,15833.500000,0
2018-09-24,15862.400391,16360.599609,15734.950195,15838.049805,15838.049805,0
2018-10-01,15897.099609,16282.049805,15265.650391,15591.650391,15591.650391,0
2018-10-08,15538.200195,15644.200195,14408.450195,14539.200195,14539.200195,0
2018-10-15,14639.500000,15190.650391,14421.650391,14476.849609,14476.849609,0
2018-10-22,14527.549805,14527.549805,13769.849609,13798.599609,13798.599609,0
2018-10-29,13837.650391,14994.849609,13696.500000,14396.700195,14396.700195,0
2018-11-05,14377.500000,14796.900391,14345.250000,14553.250000,14553.250000,0
2018-11-12,14604.950195,14821.549805,14236.700195,14473.150391,14473.150391,0
2018-11-19,14544.799805,14618.250000,13819.700195,13835.700195,13835.700195,0
2018-11-26,13836.950195,14732.650391,13581.349609,14638.049805,14638.049805,0
2018-12-03,14728.450195,15064.250000,14461.950195,14662.900391,14662.900391,0
2018-12-10,14486.000000,14913.799805,14307.299805,14851.400391,14851.400391,0
2018-12-17,14931.049805,14931.049805,14171.950195,14207.849609,14207.849609,0
2018-12-24,14296.799805,14460.700195,14018.400391,14385.799805,14385.799805,0
2018-12-31,14458.500000,14593.849609,13958.849609,14146.150391,14146.150391,0
2019-01-07,14238.049805,14495.700195,14134.250000,14307.099609,14307.099609,0
2019-01-14,14474.500000,14923.750000,14196.000000,14893.000000,14893.000000,0
2019-01-21,14920.349609,15161.200195,14793.250000,15039.299805,15039.299805,0
2019-01-28,15085.049805,15751.750000,14986.700195,15724.299805,15724.299805,0
2019-02-04,15727.200195,16167.849609,15634.950195,16019.799805,16019.799805,0
2019-02-11,16050.200195,16159.049805,15620.450195,15815.599609,15815.599609,0
2019-02-18,15895.500000,15948.099609,15287.500000,15684.700195,15684.700195,0
2019-02-25,15738.950195,16069.400391,15694.849609,15848.299805,15848.299805,0
2019-03-04,15839.200195,15839.200195,15388.200195,15408.700195,15408.700195,0
2019-03-11,15432.900391,15649.250000,15202.049805,15546.599609,15546.599609,0
2019-03-18,15614.799805,15735.250000,15296.000000,15551.099609,15551.099609,0
2019-03-25,15579.049805,15729.500000,15218.250000,15628.200195,15628.200195,0
2019-04-01,15668.799805,16013.250000,15662.549805,15923.049805,15923.049805,0
2019-04-08,15982.849609,16203.250000,15832.000000,15911.099609,15911.099609,0
2019-04-15,15917.700195,16177.849609,15862.000000,16079.299805,16079.299805,0
2019-04-22,16077.549805,16523.750000,16057.900391,16504.449219,16504.449219,0
2019-04-29,16510.949219,16720.400391,16065.450195,16092.950195,16092.950195,0
2019-05-06,15949.299805,16225.849609,15911.950195,15949.599609,15949.599609,0
2019-05-13,15949.000000,16095.700195,15642.950195,15843.400391,15843.400391,0
